year,avg_temp
1832,9.48
1833,9.93
1834,9.95
1835,9.15
1836,9.65
1837,9.32
1838,9.02
1839,9.05
1840,9.63
1841,9.13
1842,10.10
1843,10.51
1844,9.38
1845,9.66
1846,10.33
1847,9.79
1848,9.25
1849,9.84
1850,9.59
1851,9.84
1852,9.84
1853,9.53
1854,10.16
1855,10.51
1856,10.05
1857,9.33
1858,9.99
1859,10.49
1860,9.24
1861,9.66
1862,9.14
1863,10.35
1864,9.45
1865,9.70
1866,9.82
1867,10.70
1868,9.88
1869,9.88
1870,10.14
1871,9.88
1872,10.23
1873,10.47
1874,10.42
1875,10.33
1876,9.69
1877,9.88
1878,10.26
1879,10.75
1880,10.60
1881,10.61
1882,9.37
1883,9.57
1884,9.35
1885,9.47
1886,8.41
1887,9.92
1888,11.38
1889,9.59
1890,9.70
1891,9.21
1892,10.13
1893,10.27
1894,9.68
1895,10.25
1896,10.31
1897,9.80
1898,8.67
1899,11.07
1900,9.53
1901,9.93
1902,10.49
1903,8.91
1904,9.85
1905,9.31
1906,10.06
1907,9.26
1908,9.83
1909,10.73
1910,10.02
1911,9.61
1912,10.47
1913,10.36
1914,11.08
1915,11.79
1916,9.94
1917,11.16
1918,9.94
1919,9.95
1920,8.65
1921,9.48
1922,11.13
1923,10.02
1924,10.31
1925,10.79
1926,10.45
1927,10.39
1928,9.47
1929,9.07
1930,9.24
1931,9.39
1932,9.72
1933,10.07
1934,8.92
1935,9.44
1936,10.24
1937,9.58
1938,10.75
1939,10.99
1940,11.55
1941,11.92
1942,10.75
1943,9.91
1944,11.21
1945,9.85
1946,10.67
1947,11.32
1948,10.55
1949,9.25
1950,9.44
1951,9.90
1952,10.50
1953,10.49
1954,9.50
1955,11.37
1956,10.81
1957,9.43
1958,10.88
1959,10.32
1960,10.09
1961,11.31
1962,10.85
1963,11.73
1964,9.76
1965,11.10
1966,11.15
1967,10.52
1968,10.57
1969,9.03
1970,11.05
1971,11.33
1972,8.85
1973,10.89
1974,9.88
1975,10.67
1976,10.17
1977,10.97
1978,10.71
1979,10.88
1980,11.40
1981,11.42
1982,10.57
1983,11.57
1984,9.79
1985,10.96
1986,11.10
1987,10.97
1988,11.76
1989,10.41
1990,11.38
1991,10.95
1992,10.97
1993,10.11
1994,10.95
1995,11.54
1996,10.45
1997,11.77
1998,11.32
1999,11.65
2000,11.85
2001,11.99
2002,11.65
2003,11.25
2004,12.24
2005,11.75
2006,11.86
2007,11.79
2008,11.43
2009,11.49
2010,11.94
2011,11.35
2012,10.87
2013,13.66
